floor_id,building_name,floor_number,floor_name,main_departments,facilities,area_type
1,천안시청 본관,1,본관 1층,"민원여권과,노인복지과,청년정책과,복지정책과,장애인복지과,허가과","청사카페,민원실,대기공간",민원서비스층
2,천안시청 본관,2,본관 2층,"시의회 관련부서","회의실,로비",행정층
3,천안시청 본관,3,본관 3층,"여성가족과,아동보육과","회의실,업무공간",복지행정층
4,천안시청 본관,4,본관 4층,"행정지원과,자치분권과,회계과,스마트정보과","회의실,서버실",행정관리층
5,천안시청 본관,5,본관 5층,"정책기획과,예산법무과,세정과","회의실,기획조정실장실",기획재정층
6,천안시청 본관,6,본관 6층,"홍보담당관,감사관,스마트도시추진과","부시장실,회의실",부시장직속층
7,천안시청 본관,7,본관 7층,"문화예술과,체육진흥과,관광과,교육청소년과,축구종합센터건립추진과,K-컬처박람회추진과","회의실,전시공간",문화체육층
8,천안시청 본관,8,본관 8층,"미래전략과,일자리경제과,기업지원과,산업단지조성추진과","회의실,전략산업국장실",산업경제층
9,천안시청 본관,9,본관 9층,"농업정책과,축산과,환경정책과,기후에너지과,청소행정과,식품안전과","회의실,농업환경국장실",농업환경층
10,천안시청 본관,10,본관 10층,"건설도로과,안전총괄과,교통정책과,대중교통과,하천과","회의실,건설안전교통국장실,재난상황실",건설교통층
11,천안시청 본관,11,본관 11층,"도시계획과,도시재생과,건축과,공동주택과,토지정보과,공공시설과","회의실,도시주택국장실",도시주택층
12,천안시청 본관,12,본관 12층,"시장실","시장실,비서실,접견실,기자실",최고층
13,오룡홀,1,오룡홀 1층,"","주차장,기계실",부속시설
14,오룡홀,2,오룡홀 2층,"","대공연장,소공연장,회의실",문화공연시설
